@relation 'deneme-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CorrelationAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10'

@attribute engine-size numeric
@attribute curb-weight numeric
@attribute hp numeric
@attribute width numeric
@attribute length numeric
@attribute no-of-cylinder {eight,five,four,six,three,twelve,two}
@attribute engine-to-whell {4wd,fwd,rwd}
@attribute whell-base numeric
@attribute bore numeric
@attribute fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute price numeric

@data
130,2548,111,64.1,168.8,four,rwd,88.6,3.47,mpfi,13495
130,2548,111,64.1,168.8,four,rwd,88.6,3.47,mpfi,16500
152,2823,154,65.5,171.2,six,rwd,94.5,2.68,mpfi,16500
109,2337,102,66.2,176.6,four,fwd,99.8,3.19,mpfi,13950
136,2824,115,66.4,176.6,five,4wd,99.4,3.19,mpfi,17450
136,2507,110,66.3,177.3,five,fwd,99.8,3.19,mpfi,15250
136,2844,110,71.4,192.7,five,fwd,105.8,3.19,mpfi,17710
136,2954,110,71.4,192.7,five,fwd,105.8,3.19,mpfi,18920
131,3086,140,71.4,192.7,five,fwd,105.8,3.13,mpfi,23875
131,3053,160,67.9,178.2,five,4wd,99.5,3.13,mpfi,?
108,2395,101,64.8,176.8,four,rwd,101.2,3.5,mpfi,16430
108,2395,101,64.8,176.8,four,rwd,101.2,3.5,mpfi,16925
164,2710,121,64.8,176.8,six,rwd,101.2,3.31,mpfi,20970
164,2765,121,64.8,176.8,six,rwd,101.2,3.31,mpfi,21105
164,3055,121,66.9,189,six,rwd,103.5,3.31,mpfi,24565
209,3230,182,66.9,189,six,rwd,103.5,3.62,mpfi,30760
209,3380,182,67.9,193.8,six,rwd,103.5,3.62,mpfi,41315
209,3505,182,70.9,197,six,rwd,110,3.62,mpfi,36880
61,1488,48,60.3,141.1,three,fwd,88.4,2.91,2bbl,5151
90,1874,70,63.6,155.9,four,fwd,94.5,3.03,2bbl,6295
90,1909,70,63.6,158.8,four,fwd,94.5,3.03,2bbl,6575
90,1876,68,63.8,157.3,four,fwd,93.7,2.97,2bbl,5572
90,1876,68,63.8,157.3,four,fwd,93.7,2.97,2bbl,6377
98,2128,102,63.8,157.3,four,fwd,93.7,3.03,mpfi,7957
90,1967,68,63.8,157.3,four,fwd,93.7,2.97,2bbl,6229
90,1989,68,63.8,157.3,four,fwd,93.7,2.97,2bbl,6692
90,1989,68,63.8,157.3,four,fwd,93.7,2.97,2bbl,7609
98,2191,102,63.8,157.3,four,fwd,93.7,3.03,mpfi,8558
122,2535,88,64.6,174.6,four,fwd,103.3,3.34,2bbl,8921
156,2811,145,66.3,173.2,four,fwd,95.9,3.6,mfi,12964
92,1713,58,63.9,144.6,four,fwd,86.6,2.91,1bbl,6479
92,1819,76,63.9,144.6,four,fwd,86.6,2.91,1bbl,6855
79,1837,60,64,150,four,fwd,93.7,2.91,1bbl,5399
92,1940,76,64,150,four,fwd,93.7,2.91,1bbl,6529
92,1956,76,64,150,four,fwd,93.7,2.91,1bbl,7129
92,2010,76,64,163.4,four,fwd,96.5,2.91,1bbl,7295
92,2024,76,63.9,157.1,four,fwd,96.5,2.92,1bbl,7295
110,2236,86,65.2,167.5,four,fwd,96.5,3.15,1bbl,7895
110,2289,86,65.2,167.5,four,fwd,96.5,3.15,1bbl,9095
110,2304,86,65.2,175.4,four,fwd,96.5,3.15,1bbl,8845
110,2372,86,62.5,175.4,four,fwd,96.5,3.15,1bbl,10295
