@relation 'AT: deneme-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R72-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '0.292curb-weight+0.264length+0.261width+0.26 engine-size-0.254highway-mpg...' numeric
@attribute 0.275height+0.273fuel-system=idi-0.273fuel=gas+0.263compress-ratio-0.256symbol... numeric
@attribute 0.329engine-type=ohcf+0.313brand=subaru-0.312stroke-0.231no-of-cylinder=two-0.231engine-type=rotor... numeric
@attribute -0.324no-of-cylinder=two-0.324engine-type=rotor-0.305fuel-system=4bbl+0.279engine-type=ohc-0.233engine-type=ohcf... numeric
@attribute 0.266brand=porsche+0.251engine-location=rear-0.245engine-type=rotor-0.245no-of-cylinder=two+0.236compress-ratio... numeric
@attribute -0.38fuel-system=spdi-0.365aspiration=turbo-0.317brand=mitsubishi+0.241no-of-cylinder=six-0.185no-of-cylinder=four... numeric
@attribute -0.352engine-type=l-0.341brand=peugot+0.311no-of-cylinder=five+0.286brand=mercedes-benz-0.222no-of-cylinder=four... numeric
@attribute -0.346brand=honda-0.344fuel-system=1bbl+0.302fuel-system=2bbl-0.288engine-location=rear-0.283peak-rpm... numeric
@attribute -0.389fuel-system=1bbl-0.383brand=honda-0.313no-of-cylinder=eight+0.218brand=audi+0.215body-style=sedan... numeric
@attribute 0.367brand=audi+0.303no-of-cylinder=five+0.288no-of-cylinder=three+0.267engine-type=l-0.252brand=volvo... numeric
@attribute 0.366engine-type=dohc+0.352brand=alfa-romero+0.275body-style=convertible-0.256brand=porsche+0.232brand=toyota... numeric
@attribute -0.368brand=jaguar-0.318no-of-cylinder=twelve+0.237no-of-cylinder=eight+0.224brand=toyota-0.222body-style=sedan... numeric
@attribute 0.306brand=volkswagen+0.275no-of-cylinder=eight-0.269brand=toyota+0.267brand=saab+0.223body-style=sedan... numeric
@attribute 0.513brand=isuzu+0.462fuel-system=spfi-0.278body-style=wagon-0.249brand=nissan+0.247body-style=sedan... numeric
@attribute -0.374brand=chevrolet-0.337no-of-cylinder=three+0.337brand=nissan-0.274brand=jaguar-0.245no-of-cylinder=twelve... numeric
@attribute '0.306fuel-system=spdi-0.268brand=dodge-0.258fuel-system=mfi-0.254brand=jaguar+0.25 brand=alfa-romero...' numeric
@attribute -0.552brand=dodge-0.516fuel-system=mfi-0.264brand=volvo+0.243brand=toyota-0.211aspiration=turbo... numeric
@attribute -0.359brand=bmw+0.299body-style=wagon+0.287body-style=convertible-0.278brand=saab-0.249body-style=hatchback... numeric
@attribute -0.372fuel-system=spfi-0.316brand=saab-0.27brand=isuzu-0.26brand=nissan+0.213brand=dodge... numeric
@attribute 0.556engine-type=dohcv-0.403body-style=hardtop+0.225engine-type=dohc-0.201brand=mercedes-benz-0.183no-of-cylinder=twelve... numeric
@attribute -0.447brand=renault+0.417brand=saab-0.352brand=volkswagen+0.274engine-type=dohc-0.237brand=bmw... numeric
@attribute 0.361brand=mercury+0.309no-of-cylinder=twelve+0.294brand=volvo-0.279brand=renault-0.251stroke... numeric
@attribute -0.68brand=plymouth-0.303brand=bmw+0.268brand=toyota+0.247brand=mitsubishi-0.217brand=saab... numeric
@attribute -0.419brand=volkswagen+0.386brand=mazda-0.288brand=plymouth+0.275brand=renault-0.262brand=toyota... numeric
@attribute 0.487brand=renault+0.345brand=plymouth-0.255body-style=wagon-0.242brand=bmw-0.218brand=mitsubishi... numeric
@attribute -0.724brand=mercury+0.294brand=volvo-0.22brand=volkswagen+0.213brand=renault+0.213brand=saab... numeric
@attribute '0.32 brand=mazda+0.289fuel-system=mfi-0.289brand=dodge-0.264brand=mercury-0.254body-style=wagon...' numeric
@attribute -0.402brand=nissan-0.296fuel-system=mfi+0.269brand=dodge-0.267engine-to-whell=4wd+0.259body-style=hatchback... numeric
@attribute -0.346brand=toyota+0.299engine-type=dohc+0.262brand=volkswagen+0.237normalized-loses+0.216brand=volvo... numeric
@attribute -0.616engine-to-whell=4wd-0.324brand=mazda+0.235engine-to-whell=fwd+0.195brand=subaru+0.175no-of-cylinder=five... numeric
@attribute -0.488body-style=hardtop-0.469brand=alfa-romero+0.377body-style=convertible-0.219brand=mazda+0.205fuel-system=mfi... numeric
@attribute -0.472fuel-system=mfi+0.343brand=dodge+0.297body-style=convertible+0.264fuel-system=spfi+0.261brand=nissan... numeric
@attribute 0.438brand=mazda+0.278body-style=wagon-0.24fuel-system=2bbl+0.223fuel-system=spfi+0.216normalized-loses... numeric
@attribute 0.367brand=isuzu-0.357fuel-system=spfi+0.316aspiration=turbo-0.273brand=mitsubishi+0.219brand=mazda... numeric
@attribute '-0.384brand=chevrolet+0.355brand=isuzu+0.348no-of-cylinder=three-0.331fuel-system=spfi+0.23 brand=audi...' numeric
@attribute '-0.57brand=chevrolet+0.514no-of-cylinder=three-0.248brand=isuzu+0.24 fuel-system=spfi-0.185brand=audi...' numeric
@attribute price numeric

@data
0.786556,-4.16421,1.04275,-1.26732,2.650842,1.316391,-3.21224,-0.349385,1.663527,1.112515,6.795923,1.848871,1.802838,1.423783,-0.151941,3.368586,-1.939805,3.34622,1.977851,0.387175,-0.084029,0.370839,-0.390886,2.678384,-0.202472,0.412689,-0.481831,-1.379073,-0.186438,1.077446,-1.447848,-0.213246,-0.210642,-0.313222,-0.289237,0.366739,13495
0.786556,-4.16421,1.04275,-1.26732,2.650842,1.316391,-3.21224,-0.349385,1.663527,1.112515,6.795923,1.848871,1.802838,1.423783,-0.151941,3.368586,-1.939805,3.34622,1.977851,0.387175,-0.084029,0.370839,-0.390886,2.678384,-0.202472,0.412689,-0.481831,-1.379073,-0.186438,1.077446,-1.447848,-0.213246,-0.210642,-0.313222,-0.289237,0.366739,16500
2.300705,-3.642775,-0.407708,0.60316,1.52875,2.472106,-1.158194,1.336641,-0.081544,1.732335,3.259537,0.137466,-0.403781,-0.566419,1.993611,2.648733,-1.888837,1.328128,-0.142244,1.509464,-0.676375,0.973531,-0.193384,1.298934,-0.750948,0.713257,0.957482,1.702866,-1.693292,-0.012802,-4.746422,-2.325701,-2.063386,-1.001976,-0.367507,0.504928,16500
-0.258224,0.006467,-0.236128,1.705599,-1.732345,-0.366915,0.655476,-1.117643,2.216836,2.406165,-0.665244,0.553903,0.561988,0.85514,-0.141296,-0.782095,0.652113,0.534358,0.739676,-0.052153,-0.240371,0.521115,0.843663,0.389698,0.793383,0.062906,0.607352,0.153801,-0.427625,0.485074,0.164012,-0.197183,1.523241,-1.406714,1.329873,-1.082568,13950
2.019903,-0.463504,0.215541,1.493237,-2.440894,-1.555049,3.225334,-1.268567,3.373088,4.710123,-0.013639,0.875652,-2.145244,1.739243,0.513539,-0.654501,0.711149,0.637197,1.560878,0.537444,-0.553535,1.017121,0.895979,-0.033215,0.287614,0.276787,0.196844,-1.127405,-0.720084,-2.242768,0.226984,-0.258592,0.177542,-1.36224,0.404945,-0.062297,17450
1.03369,-0.7361,-0.956791,2.314344,-1.707934,-0.787439,2.819086,-1.288062,2.794952,3.953113,-0.351382,0.983261,-1.00768,1.255033,-0.276915,-0.735704,0.662016,0.855944,0.765286,-0.104273,0.036673,0.81753,0.669868,0.950997,0.494547,0.231258,0.768206,0.361359,-0.30096,1.527022,0.094251,0.030923,0.306198,-0.026052,0.656597,-0.259687,15250
2.698001,0.601055,-0.850475,2.57674,-2.703204,-0.837455,2.806563,-1.222573,2.703679,4.13558,-0.828292,1.069826,-0.651688,1.088295,-0.280187,-0.951145,0.9229,0.886438,0.931459,0.213921,0.243129,0.579059,0.592816,1.129533,0.471137,0.085217,0.892676,0.788064,0.016108,1.577984,0.26425,-0.225495,0.486897,-0.578631,0.559082,-0.193826,17710
2.716324,0.792716,-0.242197,2.141728,-2.840197,-1.493036,3.085125,-1.430574,1.69366,4.080114,-0.14547,1.732475,-1.593491,-0.327791,-0.141308,-1.235966,0.790552,2.08158,-0.077048,0.683769,-0.259384,0.374768,-0.116803,0.761013,-0.864746,0.243424,0.259114,0.685477,0.485899,2.270169,0.109656,-0.475354,1.067534,-0.462537,0.947108,-0.740712,18920
3.408258,0.650403,-1.219997,2.702623,-2.628573,-1.969092,2.717335,-1.374109,2.783202,4.216751,-0.746945,0.714305,-0.815791,1.038569,-0.35066,-0.664265,0.340256,0.761375,0.663568,0.46518,0.638426,0.832834,0.575702,0.987975,0.509024,-0.129908,0.668516,0.657701,-0.421188,1.130532,-0.013661,0.090008,0.345014,0.378391,0.268687,-0.24959,23875
2.389531,-1.282868,-0.541877,1.538683,-1.729757,-3.347972,3.348372,-1.12492,2.068588,4.440113,0.745892,1.076938,-3.573332,1.232624,0.068549,-0.704537,0.028719,0.086134,0.74347,1.245652,-0.578964,1.90578,0.684163,0.140463,-0.044754,0.614382,0.612548,-0.381334,-0.828182,-2.102983,-0.280793,0.36657,-0.856994,0.130047,-0.107822,-0.443787,?
0.853861,-1.333555,0.301972,0.273089,-0.979897,1.018508,-1.820445,-0.991998,1.81394,-0.310093,-1.379156,0.536327,0.27789,1.584375,1.190565,0.841809,-0.014156,-2.575832,1.27865,-1.087848,-1.487817,0.319786,-1.397715,-0.416579,-0.552254,1.466677,-1.588809,-1.136289,0.54931,0.627748,0.51142,-0.129474,1.055732,0.354417,-0.531651,0.005322,16430
1.060907,-0.413255,0.829026,0.383587,-1.662802,1.277126,-1.693809,-0.945581,1.689045,-0.612889,-1.649161,0.257792,0.204201,1.47668,1.047536,1.074424,-0.162867,-2.202247,1.573307,-0.680581,-1.304868,0.072575,-1.306759,-0.400556,-0.419275,1.208247,-1.726702,-0.740887,0.181929,0.623579,0.316268,-0.11641,1.253901,0.272928,-0.698839,0.112045,16925
