@relation 'deneme-weka.filters.unsupervised.attribute.Remove-V-R16,2,15,3,17,9,12,22-23,14,19-20,7,11,5,25,24,8,1,13,21,6,4,18,26'

@attribute no-of-cylinder {eight,five,four,six,three,twelve,two}
@attribute normalized-loses numeric
@attribute engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute brand {alfa-romero,audi,bmw,chevrolet,dodge,mercedes-benz,mazda,honda,isuzu,jaguar,mitsubishi,mercury,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute engine-size numeric
@attribute engine-location {front,rear}
@attribute width numeric
@attribute hp numeric
@attribute peak-rpm numeric
@attribute curb-weight numeric
@attribute bore numeric
@attribute stroke numeric
@attribute body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute length numeric
@attribute aspiration {std,turbo}
@attribute highway-mpg numeric
@attribute city-mpg numeric
@attribute engine-to-whell {4wd,fwd,rwd}
@attribute symbol numeric
@attribute height numeric
@attribute compress-ratio numeric
@attribute no-of-doors {four,two}
@attribute fuel {diesel,gas}
@attribute fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute price numeric

@data
four,?,dohc,alfa-romero,130,front,64.1,111,5000,2548,3.47,2.68,convertible,168.8,std,27,21,rwd,3,48.8,9,two,gas,mpfi,13495
four,?,dohc,alfa-romero,130,front,64.1,111,5000,2548,3.47,2.68,convertible,168.8,std,27,21,rwd,3,48.8,9,two,gas,mpfi,16500
six,?,ohcv,alfa-romero,152,front,65.5,154,5000,2823,2.68,3.47,hatchback,171.2,std,26,19,rwd,1,52.4,9,two,gas,mpfi,16500
four,164,ohc,audi,109,front,66.2,102,5500,2337,3.19,3.4,sedan,176.6,std,30,24,fwd,2,54.3,10,four,gas,mpfi,13950
five,164,ohc,audi,136,front,66.4,115,5500,2824,3.19,3.4,sedan,176.6,std,22,18,4wd,2,54.3,8,four,gas,mpfi,17450
five,?,ohc,audi,136,front,66.3,110,5500,2507,3.19,3.4,sedan,177.3,std,25,19,fwd,2,53.1,8.5,two,gas,mpfi,15250
five,158,ohc,audi,136,front,71.4,110,5500,2844,3.19,3.4,sedan,192.7,std,25,19,fwd,1,55.7,8.5,four,gas,mpfi,17710
five,?,ohc,audi,136,front,71.4,110,5500,2954,3.19,3.4,wagon,192.7,std,25,19,fwd,1,55.7,8.5,four,gas,mpfi,18920
five,158,ohc,audi,131,front,71.4,140,5500,3086,3.13,3.4,sedan,192.7,turbo,20,17,fwd,1,55.9,8.3,four,gas,mpfi,23875
five,?,ohc,audi,131,front,67.9,160,5500,3053,3.13,3.4,hatchback,178.2,turbo,22,16,4wd,0,52,7,two,gas,mpfi,?
four,192,ohc,bmw,108,front,64.8,101,5800,2395,3.5,2.8,sedan,176.8,std,29,23,rwd,2,54.3,8.8,two,gas,mpfi,16430
four,192,ohc,bmw,108,front,64.8,101,5800,2395,3.5,2.8,sedan,176.8,std,29,23,rwd,0,54.3,8.8,four,gas,mpfi,16925
six,188,ohc,bmw,164,front,64.8,121,4250,2710,3.31,3.19,sedan,176.8,std,28,21,rwd,0,54.3,9,two,gas,mpfi,20970
six,188,ohc,bmw,164,front,64.8,121,4250,2765,3.31,3.19,sedan,176.8,std,28,21,rwd,0,54.3,9,four,gas,mpfi,21105
six,?,ohc,bmw,164,front,66.9,121,4250,3055,3.31,3.19,sedan,189,std,25,20,rwd,1,55.7,9,four,gas,mpfi,24565
six,?,ohc,bmw,209,front,66.9,182,5400,3230,3.62,3.39,sedan,189,std,22,16,rwd,0,55.7,8,four,gas,mpfi,30760
six,?,ohc,bmw,209,front,67.9,182,5400,3380,3.62,3.39,sedan,193.8,std,22,16,rwd,0,53.7,8,two,gas,mpfi,41315
