@relation 'deneme-weka.filters.unsupervised.attribute.Remove-R10,17,23,24,25'

@attribute symbol numeric
@attribute normalized-loses numeric
@attribute brand {alfa-romero,audi,bmw,chevrolet,dodge,mercedes-benz,mazda,honda,isuzu,jaguar,mitsubishi,mercury,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute fuel {diesel,gas}
@attribute aspiration {std,turbo}
@attribute no-of-doors {four,two}
@attribute body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute engine-to-whell {4wd,fwd,rwd}
@attribute engine-location {front,rear}
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute curb-weight numeric
@attribute engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute no-of-cylinder {eight,five,four,six,three,twelve,two}
@attribute fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute bore numeric
@attribute stroke numeric
@attribute compress-ratio numeric
@attribute hp numeric
@attribute price numeric

@data
3,?,alfa-romero,gas,std,two,convertible,rwd,front,168.8,64.1,48.8,2548,dohc,four,mpfi,3.47,2.68,9,111,13495
3,?,alfa-romero,gas,std,two,convertible,rwd,front,168.8,64.1,48.8,2548,dohc,four,mpfi,3.47,2.68,9,111,16500
1,?,alfa-romero,gas,std,two,hatchback,rwd,front,171.2,65.5,52.4,2823,ohcv,six,mpfi,2.68,3.47,9,154,16500
2,164,audi,gas,std,four,sedan,fwd,front,176.6,66.2,54.3,2337,ohc,four,mpfi,3.19,3.4,10,102,13950
2,164,audi,gas,std,four,sedan,4wd,front,176.6,66.4,54.3,2824,ohc,five,mpfi,3.19,3.4,8,115,17450
2,?,audi,gas,std,two,sedan,fwd,front,177.3,66.3,53.1,2507,ohc,five,mpfi,3.19,3.4,8.5,110,15250
1,158,audi,gas,std,four,sedan,fwd,front,192.7,71.4,55.7,2844,ohc,five,mpfi,3.19,3.4,8.5,110,17710
1,?,audi,gas,std,four,wagon,fwd,front,192.7,71.4,55.7,2954,ohc,five,mpfi,3.19,3.4,8.5,110,18920
1,158,audi,gas,turbo,four,sedan,fwd,front,192.7,71.4,55.9,3086,ohc,five,mpfi,3.13,3.4,8.3,140,23875
0,?,audi,gas,turbo,two,hatchback,4wd,front,178.2,67.9,52,3053,ohc,five,mpfi,3.13,3.4,7,160,?
2,192,bmw,gas,std,two,sedan,rwd,front,176.8,64.8,54.3,2395,ohc,four,mpfi,3.5,2.8,8.8,101,16430
0,192,bmw,gas,std,four,sedan,rwd,front,176.8,64.8,54.3,2395,ohc,four,mpfi,3.5,2.8,8.8,101,16925
0,188,bmw,gas,std,two,sedan,rwd,front,176.8,64.8,54.3,2710,ohc,six,mpfi,3.31,3.19,9,121,20970
0,188,bmw,gas,std,four,sedan,rwd,front,176.8,64.8,54.3,2765,ohc,six,mpfi,3.31,3.19,9,121,21105
1,?,bmw,gas,std,four,sedan,rwd,front,189,66.9,55.7,3055,ohc,six,mpfi,3.31,3.19,9,121,24565
0,?,bmw,gas,std,four,sedan,rwd,front,189,66.9,55.7,3230,ohc,six,mpfi,3.62,3.39,8,182,30760
0,?,bmw,gas,std,two,sedan,rwd,front,193.8,67.9,53.7,3380,ohc,six,mpfi,3.62,3.39,8,182,41315
0,?,bmw,gas,std,four,sedan,rwd,front,197,70.9,56.3,3505,ohc,six,mpfi,3.62,3.39,8,182,36880
2,121,chevrolet,gas,std,two,hatchback,fwd,front,141.1,60.3,53.2,1488,l,three,2bbl,2.91,3.03,9.5,48,5151
