@relation 'deneme-weka.filters.unsupervised.attribute.Remove-R10,17,23,24,25-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Remove-R13,17-19-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute symbol numeric
@attribute normalized-loses numeric
@attribute brand {alfa-romero,audi,bmw,chevrolet,dodge,mercedes-benz,mazda,honda,isuzu,jaguar,mitsubishi,mercury,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute fuel {diesel,gas}
@attribute aspiration {std,turbo}
@attribute no-of-doors {four,two}
@attribute body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute engine-to-whell {4wd,fwd,rwd}
@attribute engine-location {front,rear}
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute no-of-cylinder {eight,five,four,six,three,twelve,two}
@attribute fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute hp numeric
@attribute price numeric

@data
3,?,alfa-romero,gas,std,two,convertible,rwd,front,168.8,64.1,48.8,dohc,four,mpfi,111,13495
3,?,alfa-romero,gas,std,two,convertible,rwd,front,168.8,64.1,48.8,dohc,four,mpfi,111,16500
1,?,alfa-romero,gas,std,two,hatchback,rwd,front,171.2,65.5,52.4,ohcv,six,mpfi,154,16500
2,164,audi,gas,std,four,sedan,fwd,front,176.6,66.2,54.3,ohc,four,mpfi,102,13950
2,164,audi,gas,std,four,sedan,4wd,front,176.6,66.4,54.3,ohc,five,mpfi,115,17450
2,?,audi,gas,std,two,sedan,fwd,front,177.3,66.3,53.1,ohc,five,mpfi,110,15250
1,158,audi,gas,std,four,sedan,fwd,front,192.7,71.4,55.7,ohc,five,mpfi,110,17710
1,?,audi,gas,std,four,wagon,fwd,front,192.7,71.4,55.7,ohc,five,mpfi,110,18920
1,158,audi,gas,turbo,four,sedan,fwd,front,192.7,71.4,55.9,ohc,five,mpfi,140,23875
0,?,audi,gas,turbo,two,hatchback,4wd,front,178.2,67.9,52,ohc,five,mpfi,160,?
2,192,bmw,gas,std,two,sedan,rwd,front,176.8,64.8,54.3,ohc,four,mpfi,101,16430
0,192,bmw,gas,std,four,sedan,rwd,front,176.8,64.8,54.3,ohc,four,mpfi,101,16925
0,188,bmw,gas,std,two,sedan,rwd,front,176.8,64.8,54.3,ohc,six,mpfi,121,20970
0,188,bmw,gas,std,four,sedan,rwd,front,176.8,64.8,54.3,ohc,six,mpfi,121,21105
1,?,bmw,gas,std,four,sedan,rwd,front,189,66.9,55.7,ohc,six,mpfi,121,24565
0,?,bmw,gas,std,four,sedan,rwd,front,189,66.9,55.7,ohc,six,mpfi,182,30760
0,?,bmw,gas,std,two,sedan,rwd,front,193.8,67.9,53.7,ohc,six,mpfi,182,41315
0,?,bmw,gas,std,four,sedan,rwd,front,197,70.9,56.3,ohc,six,mpfi,182,36880
2,121,chevrolet,gas,std,two,hatchback,fwd,front,141.1,60.3,53.2,l,three,2bbl,48,5151
1,98,chevrolet,gas,std,two,hatchback,fwd,front,155.9,63.6,52,ohc,four,2bbl,70,6295
0,81,chevrolet,gas,std,four,sedan,fwd,front,158.8,63.6,52,ohc,four,2bbl,70,6575
1,118,dodge,gas,std,two,hatchback,fwd,front,157.3,63.8,50.8,ohc,four,2bbl,68,5572
1,118,dodge,gas,std,two,hatchback,fwd,front,157.3,63.8,50.8,ohc,four,2bbl,68,6377
1,118,dodge,gas,turbo,two,hatchback,fwd,front,157.3,63.8,50.8,ohc,four,mpfi,102,7957
1,148,dodge,gas,std,four,hatchback,fwd,front,157.3,63.8,50.6,ohc,four,2bbl,68,6229
1,148,dodge,gas,std,four,sedan,fwd,front,157.3,63.8,50.6,ohc,four,2bbl,68,6692
1,148,dodge,gas,std,four,sedan,fwd,front,157.3,63.8,50.6,ohc,four,2bbl,68,7609
1,148,dodge,gas,turbo,?,sedan,fwd,front,157.3,63.8,50.6,ohc,four,mpfi,102,8558
-1,110,dodge,gas,std,four,wagon,fwd,front,174.6,64.6,59.8,ohc,four,2bbl,88,8921
3,145,dodge,gas,turbo,two,hatchback,fwd,front,173.2,66.3,50.2,ohc,four,mfi,145,12964
2,137,honda,gas,std,two,hatchback,fwd,front,144.6,63.9,50.8,ohc,four,1bbl,58,6479
2,137,honda,gas,std,two,hatchback,fwd,front,144.6,63.9,50.8,ohc,four,1bbl,76,6855
1,101,honda,gas,std,two,hatchback,fwd,front,150,64,52.6,ohc,four,1bbl,60,5399
1,101,honda,gas,std,two,hatchback,fwd,front,150,64,52.6,ohc,four,1bbl,76,6529
1,101,honda,gas,std,two,hatchback,fwd,front,150,64,52.6,ohc,four,1bbl,76,7129
0,110,honda,gas,std,four,sedan,fwd,front,163.4,64,54.5,ohc,four,1bbl,76,7295
0,78,honda,gas,std,four,wagon,fwd,front,157.1,63.9,58.3,ohc,four,1bbl,76,7295
0,106,honda,gas,std,two,hatchback,fwd,front,167.5,65.2,53.3,ohc,four,1bbl,86,7895
0,106,honda,gas,std,two,hatchback,fwd,front,167.5,65.2,53.3,ohc,four,1bbl,86,9095
0,85,honda,gas,std,four,sedan,fwd,front,175.4,65.2,54.1,ohc,four,1bbl,86,8845
0,85,honda,gas,std,four,sedan,fwd,front,175.4,62.5,54.1,ohc,four,1bbl,86,10295
0,85,honda,gas,std,four,sedan,fwd,front,175.4,65.2,54.1,ohc,four,mpfi,101,12945
1,107,honda,gas,std,two,sedan,fwd,front,169.1,66,51,ohc,four,2bbl,100,10345
0,?,isuzu,gas,std,four,sedan,rwd,front,170.7,61.8,53.5,ohc,four,2bbl,78,6785
1,?,isuzu,gas,std,two,sedan,fwd,front,155.9,63.6,52,ohc,four,2bbl,70,?
0,?,isuzu,gas,std,four,sedan,fwd,front,155.9,63.6,52,ohc,four,2bbl,70,?
2,?,isuzu,gas,std,two,hatchback,rwd,front,172.6,65.2,51.4,ohc,four,spfi,90,11048
0,145,jaguar,gas,std,four,sedan,rwd,front,199.6,69.6,52.8,dohc,six,mpfi,176,32250
0,?,jaguar,gas,std,four,sedan,rwd,front,199.6,69.6,52.8,dohc,six,mpfi,176,35550
0,?,jaguar,gas,std,two,sedan,rwd,front,191.7,70.6,47.8,ohcv,twelve,mpfi,262,36000
1,104,mazda,gas,std,two,hatchback,fwd,front,159.1,64.2,54.1,ohc,four,2bbl,68,5195
1,104,mazda,gas,std,two,hatchback,fwd,front,159.1,64.2,54.1,ohc,four,2bbl,68,6095
1,104,mazda,gas,std,two,hatchback,fwd,front,159.1,64.2,54.1,ohc,four,2bbl,68,6795
1,113,mazda,gas,std,four,sedan,fwd,front,166.8,64.2,54.1,ohc,four,2bbl,68,6695
1,113,mazda,gas,std,four,sedan,fwd,front,166.8,64.2,54.1,ohc,four,2bbl,68,7395
3,150,mazda,gas,std,two,hatchback,rwd,front,169,65.7,49.6,rotor,two,4bbl,101,10945
3,150,mazda,gas,std,two,hatchback,rwd,front,169,65.7,49.6,rotor,two,4bbl,101,11845
3,150,mazda,gas,std,two,hatchback,rwd,front,169,65.7,49.6,rotor,two,4bbl,101,13645
3,150,mazda,gas,std,two,hatchback,rwd,front,169,65.7,49.6,rotor,two,mpfi,135,15645
1,129,mazda,gas,std,two,hatchback,fwd,front,177.8,66.5,53.7,ohc,four,2bbl,84,8845
0,115,mazda,gas,std,four,sedan,fwd,front,177.8,66.5,55.5,ohc,four,2bbl,84,8495
1,129,mazda,gas,std,two,hatchback,fwd,front,177.8,66.5,53.7,ohc,four,2bbl,84,10595
0,115,mazda,gas,std,four,sedan,fwd,front,177.8,66.5,55.5,ohc,four,2bbl,84,10245
0,?,mazda,diesel,std,?,sedan,fwd,front,177.8,66.5,55.5,ohc,four,idi,64,10795
0,115,mazda,gas,std,four,hatchback,fwd,front,177.8,66.5,55.5,ohc,four,2bbl,84,11245
0,118,mazda,gas,std,four,sedan,rwd,front,175,66.1,54.4,ohc,four,mpfi,120,18280
0,?,mazda,diesel,std,four,sedan,rwd,front,175,66.1,54.4,ohc,four,idi,72,18344
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,190.9,70.3,56.5,ohc,five,idi,123,25552
-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,190.9,70.3,58.7,ohc,five,idi,123,28248
0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,187.5,70.3,54.9,ohc,five,idi,123,28176
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,202.6,71.7,56.3,ohc,five,idi,123,31600
-1,?,mercedes-benz,gas,std,four,sedan,rwd,front,202.6,71.7,56.5,ohcv,eight,mpfi,155,34184
